source,lang-source,author,license,sme-reviewed,premium,lang-source-dict,id
Assignation à résidence,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Décision par laquelle l'administration ou le juge oblige un étranger à résider dans un lieu déterminé et à se présenter périodiquement aux services de police ou de gendarmerie.,eeede3c2-525b-483f-97ea-565d4defd1d7
Assistance éducative,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Ensemble des mesures décidées par le juge des enfants afin de protéger un enfant en danger.,bdcf9579-a46a-4e53-a01d-82e4bb5a22d8
Assistance médicale à la procréation (AMP),fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Elle peut aider un couple de sexe différent à avoir des enfants, lorsque ce couple ne peut pas en avoir naturellement.",515ad9c9-86c4-4c0b-a694-df12fa97da7e
Association cultuelle,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Association dont l'objet est l'organisation et la célébration des cultes religieux.,0c5cfe1d-60bf-4b83-b539-36f71228d1c6
Assuré,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Personne dont la vie, les actes ou les biens sont garantis par un contrat d'assurance.",b7bcc34d-f831-4e3e-8975-fef7ab9c54f7
Astreinte,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Condamnation d'une personne à payer une somme d'argent par jour, semaine ou mois de retard en cas d'inexécution d'une obligation imposée par une décision de justice.",dc174a61-e0f9-45a5-a23f-2e9045ae69af
Attestation de propriété immobilière,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Acte notarié constatant la transmission des biens immobiliers de la personne décédée aux héritiers. Une fois publié au service de la publicité foncière, il constitue le titre de propriété des héritiers.",e640f522-554d-4f98-9e6f-f62cf5accd86
Attribution préférentielle,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Dans un partage (succession, divorce), droit donné à une personne de se voir attribuer en priorité un bien (ferme, maison...) par rapport aux autres copartageants.",1947287e-f1dd-431a-b2ec-f1d0f692963b
Audience,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Étape de la procédure durant laquelle le juge prend connaissance des arguments des parties du dossier oralement ou par écrit (en fonction de la procédure), dans le but de rendre une décision. Les parties représentées par un avocat ne sont pas automatiquement convoquées.",88370ae5-6ce0-436e-9ab0-117250f4186c
Audience collégiale,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Audience composée d'un président et de deux assesseurs (juges).,62de5049-fca1-4f65-82ee-1f60025d8fbf
Audience d'homologation de peine (procédure de CRPC),fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Étape de la procédure de comparution sur reconnaissance préalable de culpabilité (CRPC) au cours de laquelle l'auteur des faits et son avocat sont entendus par le président du tribunal. Le juge peut alors décider de valider ou de refuser la proposition de peine du procureur de la République.,55785c29-53bd-4673-aeb7-76aa045121e3
