id,source,lang-source,target,lang-target,author,license,sme-reviewed,premium,lang-target-dict
a1d3771f-c175-430e-b3d5-2f62341a6ff9,Deductible expenses,nl-nl,Aftrekposten,en-gb,business.gov.nl,CC0,True,False,Expenses that can be deducted from taxable income.
d3565d27-f636-4f84-a0a5-a582dfce113a,Deduction of VAT,nl-nl,Btw-aftrek,en-gb,business.gov.nl,CC0,True,False,VAT on business expenses that can be deducted from total VAT due.
e38da4b6-7ed9-4874-8f89-7e3852473040,Deed of inheritance,nl-nl,Verklaring van erfrecht,en-gb,business.gov.nl,CC0,True,False,A notarial document stating who the heirs are of a deceased person.
54d58f58-25de-4aee-8afb-a2fcf7b84829,Deed of conversion,nl-nl,Akte van omzetting,en-gb,business.gov.nl,CC0,True,False,An official document for changing a company’s legal structure.
fdee05d7-3bf4-4fa2-bc5b-bbb5383d065e,"Deed of formation (vof, stichting, vereniging)",nl-nl,"Akte van oprichting (vof, stichting, vereniging)",en-gb,business.gov.nl,CC0,True,False,"A document establishing a general partnership, foundation, or association."
9c8b7ed1-cea8-4240-9a1a-e877e3d09311,Deed of incorporation,nl-nl,"Oprichtingsakte BV, NV",en-gb,business.gov.nl,CC0,True,False,A notarial document required when setting up a bv or nv.
e44215cd-c9ee-458f-b5c3-bddfd6c97ce5,Deed of transfer,nl-nl,Akte van overdracht,en-gb,business.gov.nl,CC0,True,False,A document transferring ownership of property from seller to buyer.
5acb11bb-e12e-40c5-b504-b6e3ca334c7c,Deposit,nl-nl,Borgsom,en-gb,business.gov.nl,CC0,True,False,Prepayment as a guarantee for part of the price of a product or service.
2abde997-879e-4524-b01b-a1f3d2d3fc25,Depreciation,nl-nl,Afschrijving,en-gb,business.gov.nl,CC0,True,False,Spreading the cost of a business asset over several years of use.
cf3e1d89-7bd9-41ec-bd50-48227b30ebde,Deregistration,nl-nl,Uitschrijving,en-gb,business.gov.nl,CC0,True,False,Removal of a closed business from the Dutch Business Register.
1d25b4bf-fd70-4894-a80f-d3366aa0dac2,DigiD,nl-nl,DigiD,en-gb,business.gov.nl,CC0,True,False,A digital identity used for logging in to Dutch government websites.
73ad2b69-e07e-4180-a764-6e3c1de48e70,diploma,nl-nl,Diploma,en-gb,business.gov.nl,CC0,True,False,A document proving completion of a training or education.
